J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
1.0,-,47,14341.26586,2,9,-1.0,0.0,-1.0,0.03,14341.169227638344,0.09663236165579292,47,2,9,-1.0,0.0,-1.0,True,,1.6e-07
1.0,-,48,14356.50888,2,9,-1.0,1.0,0.0,0.0059,14356.679235210479,-0.17035521047910152,48,2,9,-1.0,1.0,0.0,True,,3.2e-08
1.0,-,49,14462.10991,3,4,-1.0,0.0,-1.0,0.81,14462.067301165147,0.042608834852217115,49,3,4,-1.0,0.0,-1.0,True,,4.4e-06
1.0,-,53,15287.93752,5,3,0.0,-1.0,-1.0,2.56,15287.969208975368,-0.03168897536852455,53,5,3,0.0,-1.0,-1.0,True,,1.4e-05
1.0,-,55,15749.18827,2,10,-1.0,0.0,-1.0,0.0013,15749.12164830882,0.06662169118135353,55,2,10,-1.0,0.0,-1.0,True,,7e-09
1.0,-,56,15764.5021,2,10,-1.0,1.0,0.0,0.0013,15764.593840123891,-0.09174012389121344,56,2,10,-1.0,1.0,0.0,True,,7e-09
1.0,-,59,15948.88012,3,5,-1.0,0.0,-1.0,0.16,15948.813716449726,0.06640355027411715,59,3,5,-1.0,0.0,-1.0,True,,8.6e-07
1.0,-,62,17133.74118,2,11,-1.0,0.0,-1.0,0.0044,17133.793533143522,-0.0523531435210316,62,2,11,-1.0,0.0,-1.0,True,,2.4e-08
1.0,-,63,17149.03905,2,11,-1.0,1.0,0.0,0.0011,17149.432252136237,-0.3932021362379601,63,2,11,-1.0,1.0,0.0,True,,5.9e-09
1.0,-,67,17411.1295,3,6,-1.0,0.0,-1.0,0.04,17411.05791703458,0.07158296541820164,67,3,6,-1.0,0.0,-1.0,True,,2.2e-07
1.0,-,74,18848.79097,3,7,-1.0,0.0,-1.0,0.01,18848.685675363733,0.105294636265171,74,3,7,-1.0,0.0,-1.0,True,,5.4e-08
1.0,-,75,19139.23084,5,5,0.0,-1.0,-1.0,1.0,19139.295829850926,-0.06498985092548537,75,5,5,0.0,-1.0,-1.0,True,,5.4e-06
1.0,-,80,19832.98979,2,13,-1.0,0.0,-1.0,0.0009,19835.630106305212,-2.640316305212764,80,2,13,-1.0,0.0,-1.0,True,,4.8e-09
1.0,-,89,21014.50778,5,6,0.0,-1.0,-1.0,0.36,21014.584879733662,-0.07709973366218037,89,5,6,0.0,-1.0,-1.0,True,,1.9e-06
1.0,-,92,21649.98402,3,9,-1.0,0.0,-1.0,0.0015,21649.783994362122,0.2000256378778431,92,3,9,-1.0,0.0,-1.0,True,,8.1e-09
1.0,-,101,22853.73672,5,7,0.0,-1.0,-1.0,0.36,22853.813231549684,-0.07651154968334595,101,5,7,0.0,-1.0,-1.0,True,,1.9e-06
1.0,-,102,23013.2947,3,10,-1.0,0.0,-1.0,0.0013,23013.04215866752,0.2525413324801775,102,3,10,-1.0,0.0,-1.0,True,,7e-09
1.0,-,111,24351.5847,3,11,-1.0,0.0,-1.0,0.0011,24351.304660511712,0.2800394882870023,111,3,11,-1.0,0.0,-1.0,True,,5.9e-09
1.0,-,122,25664.72351,3,12,-1.0,0.0,-1.0,0.0038,25664.458760263526,0.26474973647418665,122,3,12,-1.0,0.0,-1.0,True,,2e-08
1.0,-,134,26952.55153,3,13,-1.0,0.0,-1.0,0.0034,26952.37184175483,0.17968824517083704,134,3,13,-1.0,0.0,-1.0,True,,1.8e-08
1.0,-,142,28214.90407,3,14,-1.0,0.0,-1.0,0.0008,28214.884566104553,0.01950389544799691,142,3,14,-1.0,0.0,-1.0,True,,4.3e-09
1.0,-,151,29451.57549,3,15,-1.0,0.0,-1.0,0.0028,29451.79747848133,-0.2219884813312092,151,3,15,-1.0,0.0,-1.0,True,,1.5e-08
1.0,-,162,30662.3611,3,16,-1.0,0.0,-1.0,0.0006,30662.875340228496,-0.5142402284982381,161,3,16,-1.0,0.0,-1.0,True,,3.2e-09
2.0,+,1,10.87522,1,0,0.0,0.0,0.0,676.0,10.866349386205,0.008870613795000537,1,1,0,0.0,0.0,0.0,True,,0.0036
2.0,+,5,1838.23872,1,1,0.0,0.0,0.0,110.24,1838.238366531306,0.000353468694129333,5,1,1,0.0,0.0,0.0,True,,0.00059
2.0,+,9,3637.32674,1,2,0.0,0.0,0.0,7.29,3637.308777856872,0.017962143127988384,9,1,2,0.0,0.0,0.0,True,,3.9e-05
2.0,+,14,5407.21821,1,3,0.0,0.0,0.0,1.96,5407.141437651262,0.0767723487379044,14,1,3,0.0,0.0,0.0,True,,1.1e-05
2.0,+,17,6250.33028,4,0,0.0,1.0,1.0,529.0,6250.347273103173,-0.01699310317326308,17,4,0,0.0,1.0,1.0,True,,0.0028
2.0,+,18,6265.18371,4,0,0.0,0.0,0.0,529.0,6265.250324948503,-0.06661494850231975,18,4,0,0.0,0.0,0.0,True,,0.0028
2.0,+,22,7146.76412,1,4,0.0,0.0,0.0,2.25,7146.618841061385,0.14527893861486518,22,1,4,0.0,0.0,0.0,True,,1.2e-05
2.0,+,23,7698.42414,4,1,0.0,1.0,1.0,4.84,7698.44244393318,-0.018303933179595333,23,4,1,0.0,1.0,1.0,True,,2.6e-05
2.0,+,24,7713.11601,4,1,0.0,0.0,0.0,3.61,7713.18139939255,-0.06538939255005971,24,4,1,0.0,0.0,0.0,True,,1.9e-05
2.0,+,29,8854.41408,1,5,0.0,0.0,0.0,3.24,8854.244650396979,0.16942960302185384,29,1,5,0.0,0.0,0.0,True,,1.7e-05
2.0,+,30,9124.3528,4,2,0.0,1.0,1.0,5.29,9124.415425149238,-0.06262514923764684,30,4,2,0.0,1.0,1.0,True,,2.8e-05
2.0,+,31,9138.87881,4,2,0.0,0.0,0.0,4.0,9138.99024127613,-0.11143127612922399,31,4,2,0.0,0.0,0.0,True,,2.2e-05
2.0,+,37,10527.54868,1,6,0.0,0.0,0.0,4.0,10527.564562607931,-0.015882607931416715,37,1,6,0.0,0.0,0.0,True,,2.2e-05
2.0,+,38,10528.69598,4,3,0.0,1.0,1.0,2.89,10528.6632974988,0.032682501199815306,38,4,3,0.0,1.0,1.0,True,,1.6e-05
2.0,+,39,10542.57465,4,3,0.0,0.0,0.0,1.69,10542.682264428244,-0.10761442824332335,39,4,3,0.0,0.0,0.0,True,,9.1e-06
2.0,+,45,11867.82519,7,0,2.0,0.0,2.0,36.0,11867.814822119233,0.010367880766352755,45,7,0,2.0,0.0,2.0,True,,0.00019
2.0,+,46,11910.0031,4,4,0.0,1.0,1.0,0.49,11910.025720932153,-0.022620932153586182,46,4,4,0.0,1.0,1.0,True,,2.6e-06
2.0,+,47,11924.19807,4,4,0.0,0.0,0.0,0.25,11924.271000677976,-0.07293067797581898,47,4,4,0.0,0.0,0.0,True,,1.3e-06
2.0,+,48,12164.9951,1,7,0.0,0.0,0.0,0.81,12165.067204139263,-0.07210413926259207,48,1,7,0.0,0.0,0.0,True,,4.4e-06
2.0,+,53,13252.26534,7,1,2.0,0.0,2.0,0.16,13252.275816102601,-0.010476102601387538,53,7,1,2.0,0.0,2.0,True,,8.6e-07
2.0,+,54,13269.88317,4,5,0.0,1.0,1.0,0.09,13269.86131183214,0.021858167860045796,54,4,5,0.0,1.0,1.0,True,,4.8e-07
2.0,+,55,13283.91745,4,5,0.0,0.0,0.0,0.25,13283.942432824506,-0.024982824505059398,55,4,5,0.0,0.0,0.0,True,,1.3e-06
2.0,+,57,13761.28004,1,8,0.0,0.0,0.0,0.36,13761.317197975319,-0.037157975319132674,57,1,8,0.0,0.0,0.0,True,,1.9e-06
2.0,+,62,14607.91028,4,6,0.0,1.0,1.0,0.09,14607.864101106217,0.046178893782780506,62,4,6,0.0,1.0,1.0,True,,4.8e-07
2.0,+,63,14613.83544,7,2,2.0,0.0,2.0,0.25,14613.872944132801,-0.037504132800677326,63,7,2,2.0,0.0,2.0,True,,1.3e-06
2.0,+,64,14621.78804,4,6,0.0,0.0,0.0,0.16,14621.780908813329,0.007131186670449097,64,4,6,0.0,0.0,0.0,True,,8.6e-07
2.0,+,65,15205.35907,8,0,0.0,0.0,0.0,25.0,15205.37855967512,-0.019489675119984895,65,8,0,0.0,0.0,0.0,True,,0.00013
2.0,+,67,15312.6264,1,9,0.0,0.0,0.0,0.0133,15310.894031035932,1.7323689640670636,67,1,9,0.0,0.0,0.0,True,,7.2e-08
2.0,+,71,15924.1905,4,7,0.0,1.0,1.0,0.04,15924.155978744357,0.034521255643994664,71,4,7,0.0,1.0,1.0,True,,2.2e-07
2.0,+,72,15937.95501,4,7,0.0,0.0,0.0,0.04,15937.908476927174,0.046533072825695854,72,4,7,0.0,0.0,0.0,True,,2.2e-07
2.0,+,73,15952.60006,7,3,2.0,0.0,2.0,0.25,15952.619494406617,-0.019434406616710476,73,7,3,2.0,0.0,2.0,True,,1.3e-06
2.0,+,75,16625.7787,8,1,0.0,0.0,0.0,0.16,16625.777903447455,0.0007965525437612087,75,8,1,0.0,0.0,0.0,True,,8.6e-07
2.0,+,80,17218.84452,4,8,0.0,1.0,1.0,0.04,17218.854566159243,-0.010046159244666342,80,4,8,0.0,1.0,1.0,True,,2.2e-07
2.0,+,83,17268.62883,7,4,2.0,0.0,2.0,0.36,17268.62219848637,0.006631513631873531,83,7,4,2.0,0.0,2.0,True,,1.9e-06
2.0,+,85,18045.24962,8,2,0.0,0.0,0.0,0.04,18045.57197950799,-0.3223595079907682,85,8,2,0.0,0.0,0.0,True,,2.2e-07
2.0,+,92,18561.9736,7,5,2.0,0.0,2.0,0.16,18561.95770282888,0.015897171120741405,92,7,5,2.0,0.0,2.0,True,,8.6e-07
2.0,+,95,19466.26106,8,3,0.0,0.0,0.0,0.09,19466.18859262563,0.07246737437162665,95,8,3,0.0,0.0,0.0,True,,4.8e-07
2.0,+,100,19832.66158,7,6,2.0,0.0,2.0,0.16,19832.590782276602,0.0707977233978454,100,7,6,2.0,0.0,2.0,True,,8.6e-07
2.0,+,103,19983.95383,6,0,1.0,1.0,2.0,121.0,19984.03776375447,-0.08393375447121798,103,6,0,1.0,1.0,2.0,True,,0.00065
2.0,+,104,20004.78321,6,0,1.0,0.0,1.0,196.0,20004.782060230562,0.0011497694395075087,104,6,0,1.0,0.0,1.0,True,,0.0011
