J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
2.0,+,4,6,14607.91028,0.09,14607.864101351022,14607.864101106217,-2.44805050897412e-07,False
2.0,+,7,2,14613.83544,0.25,14613.872943990507,14613.872944132801,1.4229408407118171e-07,False
2.0,+,4,6,14621.78804,0.16,14621.780909091538,14621.780908813329,-2.782089723041281e-07,False
2.0,+,8,0,15205.35907,25.0,15205.37855986079,15205.37855967512,-1.856697053881362e-07,False
2.0,+,1,9,15312.6264,0.0133,15310.894030475134,15310.894031035932,5.607980710919946e-07,False
2.0,+,4,7,15924.1905,0.04,15924.155978872557,15924.155978744357,-1.2820055417250842e-07,False
2.0,+,4,7,15937.95501,0.04,15937.90847711705,15937.908476927174,-1.8987520888913423e-07,False
2.0,+,7,3,15952.60006,0.25,15952.619494787505,15952.619494406617,-3.808872861554846e-07,False
2.0,+,8,1,16625.7787,0.16,16625.77790362102,16625.777903447455,-1.7356433090753853e-07,False
2.0,+,4,8,17218.84452,0.04,17218.854566377,17218.854566159243,-2.1775485947728157e-07,False
2.0,+,7,4,17268.62883,0.36,17268.62219994724,17268.62219848637,-1.4608704077545553e-06,False
2.0,+,8,2,18045.24962,0.04,18045.571979665492,18045.57197950799,-1.5750265447422862e-07,False
2.0,+,7,5,18561.9736,0.16,18561.957704671073,18561.95770282888,-1.8421924323774874e-06,False
2.0,+,8,3,19466.26106,0.09,19466.188592985098,19466.18859262563,-3.5946868592873216e-07,False
2.0,+,7,6,19832.66158,0.16,19832.590791665658,19832.590782276602,-9.389055776409805e-06,False
2.0,+,6,0,19983.95383,121.0,19984.0377615374,19984.03776375447,2.21707159653306e-06,False
2.0,+,6,0,20004.78321,196.0,20004.782059201585,20004.782060230562,1.0289768397342414e-06,False
2.0,+,6,0,20021.88339,169.0,20021.866319179546,20021.866326104104,6.924557965248823e-06,False
2.0,+,7,7,21080.87284,0.09,21080.791448111744,21080.79144776204,-3.49704350810498e-07,False
2.0,+,6,1,21737.69675,0.81,21737.729571393967,21737.72957001206,-1.3819080777466297e-06,False
2.0,+,6,1,21758.34274,2.25,21758.346269812275,21758.34626995915,1.4687611837871373e-07,False
2.0,+,6,1,21775.2354,1.44,21775.247587256286,21775.247589627117,2.3708307708147913e-06,False
2.0,+,6,2,23453.92182,1.0,23453.5247558254,23453.524699962392,-5.586300903814845e-05,False
2.0,+,6,2,23474.49742,1.96,23474.458179001853,23474.458174197425,-4.804427589988336e-06,False
2.0,+,6,2,23491.21282,1.0,23491.193729816034,23491.19373167574,1.859705662354827e-06,False
2.0,+,6,3,25129.96382,4.0,25129.962950380843,25129.962968912474,1.8531631212681532e-05,False
2.0,+,6,3,25150.06417,6.76,25150.060693168387,25150.060686832447,-6.335940270218998e-06,False
2.0,+,6,3,25166.62962,5.76,25166.57796957796,25166.57792821053,-4.136743154958822e-05,False
2.0,+,6,4,26760.82671,0.36,26760.81977558936,26760.819631975908,-0.00014361345165525563,False
2.0,+,6,4,26780.68177,0.49,26780.725101467637,26780.725092552904,-8.91473246156238e-06,False
2.0,+,6,4,26796.87904,0.49,26796.856063389285,26796.856061451617,-1.9376675481908023e-06,False
2.0,+,6,5,28341.76794,4.84,28341.77210982245,28341.772221445033,0.00011162258306285366,False
2.0,+,6,5,28361.1501,5.29,28361.16782982222,28361.1678390804,9.25817948882468e-06,False
2.0,+,6,5,28377.15623,5.76,28377.151835279652,28377.151862329963,2.7050311473431066e-05,False
2.0,+,6,6,29864.78589,0.09,29865.529372499812,29865.529340999783,-3.1500028853770345e-05,False
2.0,+,6,6,29883.93305,0.16,29884.55252616677,29884.5525389547,1.2787928426405415e-05,False
2.0,+,6,6,29901.73225,0.09,29900.17468022021,29900.174825256814,0.00014503660349873826,False
2.0,+,6,7,31324.48987,1.0,31324.567759226822,31324.568045266125,0.0002860393033188302,False
2.0,+,6,7,31342.86465,2.56,31342.89719342716,31342.897208735274,1.530811277916655e-05,False
2.0,+,6,7,31358.21178,1.44,31358.175415290712,31358.175450865725,3.5575012589106336e-05,False
2.0,+,6,8,32709.27246,0.36,32709.420819324638,32709.420760639758,-5.868488005944528e-05,False
2.0,+,6,8,32727.05373,0.49,32727.307233197243,32727.307234237607,1.0403637134004384e-06,False
2.0,+,6,8,32742.4397,0.09,32742.117781498804,32742.11783238471,5.0885904784081504e-05,False
2.0,+,6,9,34013.24764,0.0004,34013.234721820976,34013.23471175845,-1.0062525689136237e-05,False
2.0,+,6,9,34030.55731,0.0015,34030.44120125382,34030.44119277319,-8.480630640406162e-06,False
2.0,+,6,9,34045.01693,0.0004,34044.600425509525,34044.600419048045,-6.461479642894119e-06,False
2.0,+,6,10,35233.97426,0.0202,35234.19497583657,35234.194956507876,-1.9328697817400098e-05,False
2.0,+,6,10,35250.86546,0.0455,35250.71608430967,35250.71607033342,-1.3976248737890273e-05,False
2.0,+,6,10,35265.00988,0.0256,35264.53915662114,35264.53908584691,-7.077422924339771e-05,False
2.0,+,6,11,36376.94782,0.0011,36377.984919157556,36377.98498573751,6.657995254499838e-05,False
2.0,+,6,11,36393.34668,0.0025,36393.82432786637,36393.82431404664,-1.3819735613651574e-05,False
2.0,+,6,12,37452.91087,0.0038,37453.58458858822,37453.5845796087,-8.979521226137877e-06,False
2.0,+,6,12,37468.84749,0.0087,37468.74943381419,37468.74941740977,-1.640442496864125e-05,False
2.0,+,6,12,37482.23148,0.0038,37481.50640073265,37481.50632599707,-7.47355807106942e-05,False
2.0,-,2,0,603.81737,256.0,603.811808706609,603.811810700103,1.9934940382881905e-06,False
2.0,-,2,0,625.9238,400.0,625.930197789741,625.930199728529,1.9387880456633866e-06,False
2.0,-,2,0,644.34202,324.0,644.335921128668,644.335923075496,1.9468279788270593e-06,False
2.0,-,2,1,2221.80345,5.76,2221.79303483428,2221.793034715595,-1.1868542060256004e-07,False
2.0,-,2,1,2243.82684,6.25,2243.823233644929,2243.823233391877,-2.530523488530889e-07,False
2.0,-,2,1,2262.1729,6.25,2262.155971219501,2262.155970810007,-4.094940777576994e-07,False
2.0,-,2,2,3816.47789,3.24,3816.5137020495,3816.513702694805,6.453051355492789e-07,False
2.0,-,2,2,3838.41071,5.29,3838.459317949455,3838.459318297192,3.4773711377056316e-07,False
2.0,-,2,2,3856.69175,1.96,3856.721956198091,3856.72195586107,-3.3702099244692363e-07,False
2.0,-,2,3,5387.84846,1.0,5387.800354169015,5387.800354515008,3.459927029325627e-07,False
2.0,-,2,3,5409.67232,1.96,5409.665204247899,5409.665203760062,-4.878374966210686e-07,False
