state,r_angstrom,supplied_cm,refined_cm
1,1.2562135112593829,-94.92615372393993,-94.92953339610722
1,1.2583402835696413,-76.48064063011043,-76.48371418856732
1,1.2604670558798998,-55.54146199744537,-55.54426513985163
1,1.2625938281901585,-32.14385736428085,-32.14642946694039
1,1.264720600500417,-6.322673198495977,-6.325057108120745
1,1.2668473728106755,21.88763003688109,21.885388208840595
1,1.268974145120934,52.45297097243201,52.45082205278959
1,1.2711009174311927,85.33964057228513,85.33753252632596
1,1.2732276897414512,120.51429552211266,120.51217365097727
1,1.2753544620517097,157.9439517621322,157.9417588972301
1,1.2774812343619684,197.59597816191672,197.5936548563459
1,1.2796080066722268,239.43809033401885,239.43557505091303
1,1.2817347789824853,283.4383445833555,283.43557388105546
1,1.2838615512927438,329.5651319892422,329.5620407032602
1,1.2859883236030025,377.78717261710153,377.7836940388197
1,1.288115095913261,428.0735098568184,428.0695759088376
1,1.2902418682235195,480.3935048847652,480.38904629288663
1,1.2923686405337782,534.7168312464746,534.7117777082358
1,1.2944954128440367,591.0134695569914,591.0077499067365
1,1.2966221851542952,649.2537023160348,649.2472446864576
1,1.2987489574645537,709.4081088348939,709.4008408150303
1,1.3008757297748124,771.4475602722359,771.4394090618771
1,1.3030025020850708,835.3432147758367,835.3341073363044
1,1.3051292743953293,901.0665127274051,901.0563759287088
1,1.307256046705588,968.5891720875306,968.5779328518356
1,1.3093828190158465,1037.8831838378765,1037.870769279285
1,1.311509591326105,1108.920807517823,1108.9071450784695
1,1.3136363636363635,1181.6745668525846,1181.6595844349813
1,1.3157631359466222,1256.1172454700136,1256.1008715656953
1,1.3178899082568807,1332.2218827031556,1332.2040465175733
1,1.3200166805671394,1409.9617694758726,1409.9424010495432
1,1.3221434528773979,1489.310444268447,1489.2894745943604
1,1.3242702251876564,1570.2416891605671,1570.2190502978465
1,1.3263969974979148,1652.7295259486627,1652.7051511324944
1,1.3285237698081733,1736.7482123348755,1736.7220360826823
1,1.330650542118432,1822.2722381847598,1822.244196398672
1,1.3327773144286905,1909.2763218508835,1909.2463519164621
1,1.3349040867389492,1997.7354065595473,1997.7034474408356
1,1.3370308590492077,2087.624656857609,2087.590649188479
1,1.3391576313594662,2178.9194551167966,2178.883341288607
1,1.3412844036697247,2271.5953980923905,2271.5571223380266
1,1.3434111759799832,2365.628293533593,2365.587802007846
1,1.3455379482902419,2460.994156842582,2460.95139769893
1,1.3476647206005004,2557.6692077793723,2557.6241312431875
1,1.349791492910759,2655.62986720968,2655.5824256478572
1,1.3519182652210175,2754.852753892572,2754.8029018796506
1,1.354045037531276,2855.31468130532,2855.2623756860867
1,1.3561718098415345,2956.9926545021162,2956.9378544507717
1,1.358298582151793,3059.86386700392,3059.806534079774
1,1.3604253544620517,3163.90569771622,3163.845795916017
1,1.3625521267723102,3269.09570787172,3269.033203678572
1,1.364678899082569,3375.4116379949246,3375.346500423948
1,1.3668056713928274,3482.831404885277,3482.76360552591
1,1.3689324437030859,3591.3330986159426,3591.2626116710353
1,1.3710592160133444,3700.894979544799,3700.821781866478
1,1.3731859883236028,3811.4954753345064,3811.4195464568556
1,1.3753127606338615,3923.113177978288,3923.034500146936
1,1.37743953294412,4035.726840828067,4035.64539902663
1,1.3795663052543787,4149.315375621623,4149.231157595164
1,1.3816930775646372,4263.857849505114,4263.770845780545
1,1.3838198498748957,4379.3334820476875,4379.243685951246
1,1.3859466221851542,4495.721642244335,4495.6290499161105
1,1.3880733944954127,4613.001845503481,4612.906455909085
1,1.3902001668056714,4731.153750615524,4731.055565554938
1,1.3923269391159299,4850.157156698474,4850.056180812078
1,1.3944537114261886,4969.992000116973,4969.888240888859
1,1.396580483736447,5090.638351370419,5090.5318191289825
1,1.3987072560467055,5212.076411946529,5211.967119862411
1,1.400834028356964,5334.286511135891,5334.174475217274
1,1.4029608006672225,5457.249102803435,5457.134341888819
1,1.4050875729774812,5580.944762112527,5580.827297860904
1,1.4072143452877397,5705.354182197192,5705.2340390757545
1,1.4093411175979984,5830.458170778143,5830.335376047531
1,1.411467889908257,5956.237646717787,5956.112230414913
1,1.4135946622185154,6082.673636509866,6082.545631428343
1,1.4157214345287739,6209.7472706986655,6209.616712366902
1,1.4178482068390323,6337.43978022316,6337.306706880111
1,1.419974979149291,6465.732492681103,6465.596945249764
1,1.4221017514595498,6594.606828508046,6594.468850566663
1,1.4242285237698082,6724.044297066286,6723.903934817341
1,1.4263552960800667,6854.026492638635,6853.883794875636
1,1.4284820683903252,6984.535090321702,6984.390108393778
1,1.4306088407005837,7115.551841813676,7115.404629588004
1,1.4327356130108422,7247.058571091278,7246.909184913391
1,1.4348623853211009,7379.037169970756,7378.885668622672
1,1.4369891576313596,7511.469593547612,7511.316038203886
1,1.439115929941618,7644.337855510148,7644.182309691785
1,1.4412427022518766,7777.624023321636,7777.466552847897
1,1.443369474562135,7911.310213266262,7911.150886204338
1,1.4454962468723935,8045.3785853541085,8045.217471966727
1,1.447623019182652,8179.8113380807545,8179.648510771611
1,1.4497497914929107,8314.59070303721,8314.426236294294
1,1.4518765638031694,8449.698939366326,8449.532909703057
1,1.454003336113428,8585.118328062345,8584.950813956551
1,1.4561301084236864,8720.831166110682,8720.66224794136
1,1.4582568807339449,8856.819760465556,8856.649520447387
1,1.4603836530442034,8993.066421864103,8992.894943979667
1,1.4625104253544619,9129.553458476234,9129.380828405896
1,1.4646371976647206,9266.263169390635,9266.089474440068
1,1.4667639699749793,9403.17783793839,9403.003166963614
