J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
2.0,+,80,17218.84452,4,8,0.0,1.0,1.0,0.04,17218.8599,-0.015380000000732252,80,4,8,0.0,1.0,1.0,True,,2.2e-07
2.0,+,83,17268.62883,7,4,2.0,0.0,2.0,0.36,17268.5823,0.046530000003258465,83,7,4,2.0,0.0,2.0,True,,1.9e-06
2.0,+,85,18045.24962,8,2,0.0,0.0,0.0,0.04,18045.589,-0.3393800000012561,85,8,2,0.0,0.0,0.0,True,,2.2e-07
2.0,+,92,18561.9736,7,5,2.0,0.0,2.0,0.16,18561.9128,0.060800000002927845,92,7,5,2.0,0.0,2.0,True,,8.6e-07
2.0,+,95,19466.26106,8,3,0.0,0.0,0.0,0.09,19466.2134,0.047660000000178115,95,8,3,0.0,0.0,0.0,True,,4.8e-07
2.0,+,100,19832.66158,7,6,2.0,0.0,2.0,0.16,19832.5155,0.14607999999861931,100,7,6,2.0,0.0,2.0,True,,8.6e-07
2.0,+,103,19983.95383,6,0,1.0,1.0,2.0,121.0,19984.1287,-0.17487000000255648,103,6,0,1.0,1.0,2.0,True,,0.00065
2.0,+,104,20004.78321,6,0,1.0,0.0,1.0,196.0,20004.7916,-0.008389999999053543,104,6,0,1.0,0.0,1.0,True,,0.0011
2.0,+,105,20021.88339,6,0,1.0,-1.0,0.0,169.0,20021.9109,-0.027509999999892898,105,6,0,1.0,-1.0,0.0,True,,0.00091
2.0,+,112,21080.87284,7,7,2.0,0.0,2.0,0.09,21080.7416,0.13123999999879743,112,7,7,2.0,0.0,2.0,True,,4.8e-07
2.0,+,117,21737.69675,6,1,1.0,1.0,2.0,0.81,21737.777,-0.08024999999906868,117,6,1,1.0,1.0,2.0,True,,4.4e-06
2.0,+,118,21758.34274,6,1,1.0,0.0,1.0,2.25,21758.3527,-0.009959999999409774,118,6,1,1.0,0.0,1.0,True,,1.2e-05
2.0,+,119,21775.2354,6,1,1.0,-1.0,0.0,1.44,21775.2897,-0.05429999999978463,119,6,1,1.0,-1.0,0.0,True,,7.7e-06
