source_index,J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,ef
208,30.0,+,7,5099.0329653,1,6,0.0,0.0,0.0,1.0,5099.032019880828,0.0009454191722397809,e
209,30.0,+,9,6555.9396689,1,8,0.0,0.0,0.0,1.0,6555.939620518257,4.83817429994815e-05,e
210,31.0,-,1,544.5624127,1,0,0.0,0.0,0.0,1.0,544.562206780311,0.00020591968893768353,e
211,31.0,-,2,1332.3426563,1,1,0.0,0.0,0.0,1.0,1332.344868353799,-0.0022120537989849254,e
212,31.0,-,3,2110.6324679,1,2,0.0,0.0,0.0,1.0,2110.633161761217,-0.0006938612168596592,e
213,31.0,-,4,2879.5484744,1,3,0.0,0.0,0.0,1.0,2879.547697697218,0.0007767027818772476,e
214,31.0,-,5,3639.2054482,1,4,0.0,0.0,0.0,1.0,3639.204663903586,0.0007842964137125819,e
215,31.0,-,6,4389.7184571,1,5,0.0,0.0,0.0,1.0,4389.717753755074,0.0007033449255686719,e
216,31.0,-,7,5131.2000251,1,6,0.0,0.0,0.0,1.0,5131.199683304986,0.0003417950138100423,e
217,31.0,-,8,5863.76468,1,7,0.0,0.0,0.0,1.0,5863.763342499786,0.0013375002145039616,e
218,31.0,-,9,6587.5219094,1,8,0.0,0.0,0.0,1.0,6587.522626817557,-0.0007174175561885932,e
219,32.0,+,1,579.6252752,1,0,0.0,0.0,0.0,1.0,579.624440904293,0.0008342957070226475,e
220,32.0,+,2,1367.0879723,1,1,0.0,0.0,0.0,1.0,1367.090450656082,-0.0024783560820651473,e
221,32.0,+,3,2145.0638048,1,2,0.0,0.0,0.0,1.0,2145.064460792737,-0.0006559927369380603,e
222,32.0,+,4,2913.6678071,1,3,0.0,0.0,0.0,1.0,2913.667021319015,0.0007857809850975173,e
223,32.0,+,5,3673.0151854,1,4,0.0,0.0,0.0,1.0,3673.014283323311,0.0009020766892717802,e
224,32.0,+,6,4423.2201877,1,5,0.0,0.0,0.0,1.0,4423.219926056559,0.0002616434403535095,e
225,32.0,+,7,5164.3973423,1,6,0.0,0.0,0.0,1.0,5164.396671618792,0.0006706812073389301,e
226,32.0,+,8,5896.6579275,1,7,0.0,0.0,0.0,1.0,5896.657433316797,0.0004941832030453952,e
227,32.0,+,9,6620.117684,1,8,0.0,0.0,0.0,1.0,6620.116144205965,0.0015397940351249417,e
228,33.0,-,1,615.7737192,1,0,0.0,0.0,0.0,1.0,615.773376645644,0.00034255435593877337,e
229,33.0,-,2,1402.9109575,1,1,0.0,0.0,0.0,1.0,1402.912855895176,-0.0018983951761128992,e
230,33.0,-,3,2180.5622499,1,2,0.0,0.0,0.0,1.0,2180.562779324913,-0.0005294249131111428,e
231,33.0,-,4,2948.8445478,1,3,0.0,0.0,0.0,1.0,2948.843634210058,0.0009135899417742621,e
232,33.0,-,5,3707.8723005,1,4,0.0,0.0,0.0,1.0,3707.871533818274,0.0007666817259632808,e
233,33.0,-,6,4457.7613009,1,5,0.0,0.0,0.0,1.0,4457.76014289561,0.0011580043892536196,e
234,33.0,-,7,5198.622587,1,6,0.0,0.0,0.0,1.0,5198.622189889415,0.0003971105852542678,e
235,33.0,-,8,5930.5744593,1,7,0.0,0.0,0.0,1.0,5930.570612335287,0.0038469647133752005,e
236,33.0,-,9,6653.718273,1,8,0.0,0.0,0.0,1.0,6653.719382186247,-0.0011091862461398705,e
237,33.0,-,10,7368.1758755,1,9,0.0,0.0,0.0,1.0,7368.184056174435,-0.008180674434697721,e
238,34.0,+,1,653.0090056,1,0,0.0,0.0,0.0,1.0,653.008183211475,0.0008223885250799867,e
239,34.0,+,2,1439.8092642,1,1,0.0,0.0,0.0,1.0,1439.811254844064,-0.0019906440641079826,e
240,34.0,+,3,2217.1270391,1,2,0.0,0.0,0.0,1.0,2217.127289804717,-0.0002507047170183796,e
241,34.0,+,4,2985.0777017,1,3,0.0,0.0,0.0,1.0,2985.07671058865,0.0009911113502312219,e
