J,v,quasibound,grid_index,original_rank,expanded_rank,difference_cm
29,8,False,1,9,9,-1.382431946694851e-10
29,9,False,1,10,10,6.912159733474255e-11
29,10,False,1,11,11,2.9103830456733704e-11
29,11,False,1,12,12,-4.3655745685100555e-11
29,12,False,1,13,13,3.637978807091713e-11
29,13,False,1,14,14,-1.2369127944111824e-10
29,14,False,1,15,15,-7.275957614183426e-12
29,15,True,1,16,17,1.6230493201874197e-05
30,0,False,1,1,1,-9.094947017729282e-11
30,1,False,1,2,2,2.7284841053187847e-11
30,2,False,1,3,3,4.18367562815547e-11
30,3,False,1,4,4,-6.912159733474255e-11
30,4,False,1,5,5,-2.9103830456733704e-11
30,5,False,1,6,6,1.673470251262188e-10
30,6,False,1,7,7,-4.3655745685100555e-11
30,7,False,1,8,8,4.3655745685100555e-11
30,8,False,1,9,9,-6.912159733474255e-11
30,9,False,1,10,10,4.729372449219227e-11
30,10,False,1,11,11,7.275957614183426e-12
30,11,False,1,12,12,5.093170329928398e-11
30,12,False,1,13,13,6.548361852765083e-11
30,13,False,1,14,14,-1.0913936421275139e-10
30,14,True,1,15,15,2.9103830456733704e-11
30,15,True,1,17,18,0.0033575425040908158
31,0,False,1,1,1,8.185452315956354e-11
31,1,False,1,2,2,1.3642420526593924e-10
31,2,False,1,3,3,2.9103830456733704e-11
31,3,False,1,4,4,-3.637978807091713e-11
31,4,False,1,5,5,-1.8189894035458565e-11
31,5,False,1,6,6,4.729372449219227e-11
31,6,False,1,7,7,-4.729372449219227e-11
31,7,False,1,8,8,1.0550138540565968e-10
31,8,False,1,9,9,-1.5643308870494366e-10
31,9,False,1,10,10,4.001776687800884e-11
31,10,False,1,11,11,1.0913936421275139e-11
31,11,False,1,12,12,3.637978807091713e-11
31,12,False,1,13,13,-2.1827872842550278e-11
31,13,False,1,14,14,-5.820766091346741e-11
31,14,True,1,15,15,6.548361852765083e-11
31,15,True,1,18,19,0.07079134151717881
32,0,False,1,1,1,0.0
