v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
13,14,1.0,False,4.6464,37205.789884230515,5,29526.21128,29526.26771787919,-0.05643787918961607,10.91089451179962,-1.673470251262188e-10
14,15,1.0000000000000004,False,4.6464,37205.789884230515,5,30972.042161,30972.022710300706,0.01945069929570309,10.540925533894598,-1.4915713109076023e-10
15,16,1.0,False,4.6464,37205.789884230515,5,32272.8272,32272.759719317582,0.06748068241722649,10.206207261596576,-1.9281287677586079e-10
16,17,0.9999999999999999,False,4.6464,37205.789884230515,5,33413.426589,33413.327530247014,0.09905875298863975,9.901475429766744,-1.3096723705530167e-10
17,18,0.999999999999985,False,4.6464,37205.789884230515,5,34372.753089,34372.63806919482,0.11501980517641641,9.622504486493764,-2.4010660126805305e-10
0,1,0.9999999999999993,False,4.522799999999999,37215.62639596375,6,437.558,437.558512610599,-0.0005126105990029828,37.79644730092272,1.949729266925715e-10
1,2,0.9999999999999997,False,4.522799999999999,37215.62639596375,6,3310.7775,3310.797856641087,-0.020356641086891614,26.726124191242434,2.778506313916296e-10
2,3,1.0000000000000002,False,4.522799999999999,37215.62639596375,6,6080.127923,6080.121147267279,0.006775732720598171,21.82178902359924,-1.4370016288012266e-10
3,4,1.0,False,4.522799999999999,37215.62639596375,6,8746.339164,8746.327314824997,0.011849175003590062,18.89822365046136,2.9103830456733704e-11
4,5,0.9999999999999991,False,4.522799999999999,37215.62639596375,6,11309.84763,11309.84242763808,0.005202361920964904,16.90308509457033,9.276845958083868e-11
5,6,0.9999999999999998,False,4.522799999999999,37215.62639596375,6,13770.753452,13770.741740934236,0.011711065764757222,15.430334996209192,1.8553691916167736e-10
6,7,1.0,False,4.522799999999999,37215.62639596375,6,16128.757765,16128.723986573736,0.03377842626468919,14.285714285714285,-1.3278622645884752e-10
7,8,1.0000000000000002,False,4.522799999999999,37215.62639596375,6,18383.062755,18383.042125744698,0.020629255301173544,13.363062095621217,-1.0913936421275139e-11
8,9,1.0000000000000002,False,4.522799999999999,37215.62639596375,6,20532.420291,20532.399237813253,0.02105318674512091,12.59881576697424,-1.2369127944111824e-10
