r_angstrom,potential_cm
4.139749999999999,37167.98273629918
4.1455,37168.31483090201
4.15125,37168.640193056635
4.157,37168.95896458851
4.16275,37169.27128429354
4.1685,37169.57728800211
4.17425,37169.8771086418
4.18,37170.17087629879
4.1857500000000005,37170.45871827814
4.1915,37170.740759162654
4.19725,37171.01712087075
4.202999999999999,37171.28792271297
4.20875,37171.55328144744
4.2145,37171.813311334205
4.22025,37172.06812418832
4.226,37172.317829432024
4.23175,37172.56253414572
4.2375,37172.80234311791
4.24325,37173.03735889416
4.2490000000000006,37173.26768182501
4.25475,37173.493410112875
4.2605,37173.71463985804
4.266249999999999,37173.931465103575
4.272,37174.14397787949
4.277749999999999,37174.35226824578
4.2835,37174.55642433473
4.28925,37174.75653239223
4.295,37174.952676818284
4.30075,37175.14494020662
4.3065,37175.333403383556
4.312250000000001,37175.518145445894
4.318,37175.69924379823
4.32375,37175.876774189266
4.3294999999999995,37176.0508107475
4.33525,37176.22142601608
4.340999999999999,37176.388690987
4.34675,37176.552675134466
4.3525,37176.71344644768
4.35825,37176.87107146278
4.364,37177.02561529429
4.36975,37177.17714166571
4.3755,37177.325712939564
4.38125,37177.471390146806
4.3870000000000005,37177.61423301556
4.3927499999999995,37177.75429999927
4.3985,37177.891648304234
4.404249999999999,37178.02633391655
4.41,37178.15841162854
4.41575,37178.287935064494
4.4215,37178.41495670601
4.42725,37178.539527916604
4.433,37178.66169896601
4.43875,37178.781519053766
4.4445,37178.899036332405
4.4502500000000005,37179.0142979301
4.4559999999999995,37179.12734997285
4.46175,37179.23823760616
4.467499999999999,37179.34700501626
4.47325,37179.4536954509
4.479,37179.55835123964
4.48475,37179.66101381374
4.4905,37179.76172372562
4.49625,37179.860520667855
4.502,37179.957443491825
4.50775,37180.05253022591
4.5135,37180.14581809334
4.5192499999999995,37180.237343529574
4.525,37180.327142199385
4.53075,37180.41524901356
4.5365,37180.5016981452
4.54225,37180.586523045655
4.548,37180.669756460215
4.55375,37180.75143044335
4.5595,37180.83157637363
4.56525,37180.91022496842
4.571,37180.987406298096
4.57675,37181.06314980013
4.5825,37181.137484292696
4.5882499999999995,37181.21043798811
4.594,37181.2820385059
4.59975,37181.352312885625
4.6055,37181.421287599434
4.61125,37181.48898856428
4.617,37181.55544115393
4.62275,37181.6206702107
4.6285,37181.68470005695
4.63425,37181.74755450625
4.64,37181.80925687438
4.64575,37181.869829990115
4.6514999999999995,37181.92929620566
4.65725,37181.98767740695
4.663,37182.04499502372
4.66875,37182.10127003931
4.6745,37182.15652300025
4.68025,37182.21077402576
4.686,37182.26404281682
4.69175,37182.31634866529
4.6975,37182.3677104626
4.70325,37182.41814670843
4.709,37182.46767551914
4.7147499999999996,37182.51631463592
4.7205,37182.564081432945
4.72625,37182.610992925176
4.732,37182.65706577611
4.73775,37182.702316305316
4.7435,37182.746760495764
4.74925,37182.7904140011
4.755,37182.833292152674
4.76075,37182.87540996641
4.7665,37182.91678214957
4.77225,37182.95742310741
4.778,37182.99734694955
4.7837499999999995,37183.03656749635
4.7895,37183.07509828504
4.79525,37183.1129525758
4.801,37183.150143357685
4.80675,37183.18668335436
4.8125,37183.222585029755
4.81825,37183.25786059364
4.824,37183.29252200701
4.82975,37183.326580987356
4.8355,37183.36004901388
4.84125,37183.39293733254
4.8469999999999995,37183.425256960996
4.85275,37183.45701869347
4.8585,37183.48823310547
4.86425,37183.518910558436
4.87,37183.549061204285
4.87575,37183.5786949898
4.8815,37183.60782166106
4.88725,37183.63645076755
4.893,37183.66459166648
4.89875,37183.69225352667
4.9045,37183.719445332674
4.91025,37183.74617588856
4.916,37183.77245382181
4.92175,37183.79828758692
4.9275,37183.82368546914
4.93325,37183.848655588015
4.939,37183.87320590081
4.94475,37183.89734420598
4.9505,37183.921078146464
4.95625,37183.94441521298
4.962,37183.96736274719
4.96775,37183.98992794482
4.9735,37184.01211785872
4.9792499999999995,37184.03393940185
4.985,37184.0553993502
4.99075,37184.07650434567
4.9965,37184.09726089882
5.00225,37184.117675391644
5.008,37184.13775408026
5.01375,37184.15750309746
5.0195,37184.17692845539
5.02525,37184.19603604791
5.031,37184.21483165319
5.03675,37184.23332093599
5.0424999999999995,37184.25150945014
5.04825,37184.26940264069
5.054,37184.287005846265
5.05975,37184.30432430126
5.0655,37184.3213631379
5.07125,37184.33812738848
5.077,37184.354621987324
5.08275,37184.37085177286
5.0885,37184.38682148955
