r_angstrom,bob_dimensionless
2.66775,-2.7102689942817276e-07
2.6734999999999998,-2.470533603718197e-07
2.67925,-2.2284439404722021e-07
2.685,-1.9860216005867568e-07
2.69075,-1.7450667058562432e-07
2.6965,-1.5071719628081266e-07
2.70225,-1.2737362927523268e-07
2.708,-1.0459780137935534e-07
2.71375,-8.249475591486576e-08
2.7195,-6.115397193572113e-08
2.72525,-4.0650539902022194e-08
2.731,-2.104628815484064e-08
2.73675,-2.3908598050311847e-09
2.7425,1.5277260105562472e-08
2.74825,3.192976708590989e-08
2.754,4.7547609028613925e-08
2.75975,6.212010691256916e-08
2.7655,7.564412372289014e-08
2.7712499999999998,8.81232807812857e-08
2.777,9.956722054228027e-08
2.78275,1.0999091478876575e-07
2.7885,1.1941401705362753e-07
2.79425,1.2786025800176632e-07
2.8,1.3535688242821953e-07
2.8057499999999997,1.4193412646229874e-07
2.8115,1.4762473351410004e-07
2.81725,1.524635074575561e-07
2.823,1.5648690151273824e-07
2.82875,1.597326412684637e-07
2.8345,1.6223938027389809e-07
2.84025,1.6404638662385785e-07
2.846,1.6519325896626226e-07
2.85175,1.6571967037108908e-07
2.8575,1.656651385173246e-07
2.86325,1.6506882067744715e-07
2.8689999999999998,1.639693320070325e-07
2.87475,1.6240458567974059e-07
2.8805,1.6041165344455678e-07
2.88625,1.5802664522219291e-07
2.892,1.5528460640058423e-07
2.89775,1.5221943153483592e-07
2.9034999999999997,1.4886379320441834e-07
2.90925,1.4524908482949364e-07
2.915,1.4140537629841905e-07
2.92075,1.3736138130962973e-07
2.9265,1.3314443538259605e-07
2.93225,1.287804835443745e-07
2.938,1.2429407674991292e-07
2.94375,1.1970837614565218e-07
2.9495,1.1504516433669934e-07
2.95525,1.1032486286788746e-07
2.961,1.0556655517806591e-07
2.9667499999999998,1.0078801433490989e-07
2.9725,9.600573490421342e-08
2.97825,9.12349683529504e-08
2.984,8.648976142921472e-08
2.98975,8.17829970044513e-08
2.9955,7.712643690401655e-08
3.0012499999999998,7.253076629111981e-08
3.007,6.800563920645234e-08
3.01275,6.355972490132489e-08
3.0185,5.9200754635940944e-08
